case_id,stage,status,ip_type,parameters,strategy,strategy_version,random_seed,case_budget,coverage_targets,metrics,run_dir,log_path
acc_signed_control,create_ip,PASS,accumulator,"{""bypass"":true,""ce_overrides_reset"":false,""clock_enable"":true,""input_type"":""Signed"",""input_width"":8,""operation"":""Add_Subtract"",""output_width"":16,""sync_clear"":true}",directed_random,1.0,2026,512,"[""port_boundaries""]","{""elapsed_seconds"":4.883299382170662,""returncode"":0,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-10-15_UTC+0800_a223367f/cases/accumulator/acc_signed_control,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-10-15_UTC+0800_a223367f/accumulator/acc_signed_control/create_ip/create_ip.log
acc_signed_control,generate_testbench,PASS,accumulator,"{""bypass"":true,""ce_overrides_reset"":false,""clock_enable"":true,""input_type"":""Signed"",""input_width"":8,""operation"":""Add_Subtract"",""output_width"":16,""sync_clear"":true}",directed_random,1.0,2026,512,"[""port_boundaries""]","{""checked_transaction_count"":535,""comparison_kind"":""post_edge_cycle"",""coverage_model"":""input_bins:1.0"",""covered_targets"":[""port_boundaries""],""defined_output_bits_by_port"":{""Q"":8560},""directed_count"":34,""directed_sequence_cycles"":22,""directed_suffix_cycles"":0,""elapsed_seconds"":0.012689027935266495,""flush_cycles"":1,""fully_masked_cycles"":0,""gap_cycles"":0,""generated_count"":512,""input_cycles"":535,""input_space_fraction"":0.125,""input_space_size"":4096,""masked_output_bits"":0,""masked_reason_cycles"":{},""max_observed_gap"":0,""missing_targets"":[],""schedule_version"":""1.0"",""sequence_coverage"":""not_measured"",""strategy"":""directed_random"",""strategy_version"":""1.0"",""target_coverage"":{""port_boundaries"":{""fraction"":1.0,""hit_bins"":[""ADD:0"",""ADD:1"",""B:0"",""B:1"",""B:127"",""B:254"",""B:255"",""BYPASS:0"",""BYPASS:1"",""CE:0"",""CE:1"",""SCLR:0"",""SCLR:1""],""hit_count"":13,""missing_bins"":[],""total_count"":13}},""unique_count"":512}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-10-15_UTC+0800_a223367f/cases/accumulator/acc_signed_control,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-10-15_UTC+0800_a223367f/accumulator/acc_signed_control/generate_testbench/generate_testbench.log
acc_signed_control,sim_selfcheck,SIMULATION_FAILED,accumulator,"{""bypass"":true,""ce_overrides_reset"":false,""clock_enable"":true,""input_type"":""Signed"",""input_width"":8,""operation"":""Add_Subtract"",""output_width"":16,""sync_clear"":true}",directed_random,1.0,2026,512,"[""port_boundaries""]","{""actual_output_sha256"":""d7a844b1c078b604b484907f6beb686ca5f99c13e614760e711e6232a8560308"",""elapsed_seconds"":16.19469225103967,""failure_detail_file"":""outputs/failure.json"",""failure_detail_sha256"":""1fceede61ae0781175b11277ffcd82701f01eddf8ee7f82f5f582c98fc32c828"",""failure_evidence"":{""actual"":""0000000000000000"",""causal_input_not_identified"":true,""classification"":""UNTRIAGED"",""contains_unknown_bits"":false,""difference_summary"":{""all_rows_visited"":true,""artifact_issues"":0,""classification"":""OBSERVATION_GROUPS_NOT_BUG_COUNTS"",""difference_kind_counts"":{""missing_output"":533,""value_mismatch"":1},""difference_rows"":534,""group_limit"":256,""grouping"":""kind_phase_output_field_route:1.0"",""groups_truncated"":false,""layout_issue_rows"":{},""omitted_group_memberships"":0,""retained_group_count"":4,""rows_without_input_mapping"":0,""schema_version"":1},""expected"":""0000000000000001"",""kind"":""value_mismatch"",""output_index"":1,""preceding_cycles"":[{""inputs"":{""ADD"":1,""B"":1,""BYPASS"":1,""CE"":1,""SCLR"":0},""phase"":""directed_sequence"",""vector_index"":null}],""sampled_cycle"":{""inputs"":{""ADD"":1,""B"":0,""BYPASS"":1,""CE"":0,""SCLR"":0},""phase"":""directed_sequence"",""vector_index"":null},""timing_mode"":""continuous""},""output_count"":2,""returncode"":1,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-10-15_UTC+0800_a223367f/cases/accumulator/acc_signed_control,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-10-15_UTC+0800_a223367f/accumulator/acc_signed_control/sim_selfcheck/sim_selfcheck.log
cmul_long_pipe,create_ip,PASS,complex_multiplier,"{""a_last"":true,""a_user_width"":1,""a_width"":8,""b_last"":true,""b_user_width"":256,""b_width"":8,""clock_enable"":true,""ctrl_last"":false,""ctrl_user_width"":0,""last_mode"":""AND_all_TLASTs"",""latency"":55,""multiplier_type"":""Use_Mults"",""optimization"":""Performance"",""output_width"":16,""rounding"":""Truncate""}",directed_random,1.0,2026,1024,"[""port_boundaries""]","{""elapsed_seconds"":6.001632868079469,""returncode"":0,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-10-15_UTC+0800_a223367f/cases/complex_multiplier/cmul_long_pipe,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-10-15_UTC+0800_a223367f/complex_multiplier/cmul_long_pipe/create_ip/create_ip.log
cmul_long_pipe,generate_testbench,PASS,complex_multiplier,"{""a_last"":true,""a_user_width"":1,""a_width"":8,""b_last"":true,""b_user_width"":256,""b_width"":8,""clock_enable"":true,""ctrl_last"":false,""ctrl_user_width"":0,""last_mode"":""AND_all_TLASTs"",""latency"":55,""multiplier_type"":""Use_Mults"",""optimization"":""Performance"",""output_width"":16,""rounding"":""Truncate""}",directed_random,1.0,2026,1024,"[""port_boundaries""]","{""checked_transaction_count"":6709,""comparison_kind"":""post_edge_cycle"",""coverage_model"":""input_bins:1.0"",""covered_targets"":[""port_boundaries""],""defined_output_bits_by_port"":{""m_axis_dout_tdata"":55296,""m_axis_dout_tlast"":1728,""m_axis_dout_tuser"":444096,""m_axis_dout_tvalid"":6709},""directed_count"":94,""directed_sequence_cycles"":1536,""directed_suffix_cycles"":0,""elapsed_seconds"":0.2592851761728525,""flush_cycles"":57,""fully_masked_cycles"":0,""gap_cycles"":4092,""generated_count"":1024,""input_cycles"":6709,""input_space_fraction"":3.217223493417518e-86,""input_space_size"":31828687130226345097944463881396533766429193651030253916189694521162207808802136034115584,""masked_output_bits"":1444490,""masked_reason_cycles"":{""m_axis_dout_tdata:output_tvalid_low"":4981,""m_axis_dout_tlast:output_tvalid_low"":4981,""m_axis_dout_tuser:output_tvalid_low"":4981},""max_observed_gap"":8,""missing_targets"":[],""reference_sequence_events"":{""clock_enable_holds"":2486,""invalid_input_cycles"":2716,""valid_input_operations"":1507,""valid_output_samples"":1728},""schedule_version"":""1.0"",""sequence_coverage"":""not_measured"",""strategy"":""directed_random"",""strategy_version"":""1.0"",""target_coverage"":{""port_boundaries"":{""fraction"":1.0,""hit_bins"":[""aclken:0"",""aclken:1"",""s_axis_a_tdata:0"",""s_axis_a_tdata:1"",""s_axis_a_tdata:32767"",""s_axis_a_tdata:65534"",""s_axis_a_tdata:65535"",""s_axis_a_tlast:0"",""s_axis_a_tlast:1"",""s_axis_a_tuser:0"",""s_axis_a_tuser:1"",""s_axis_a_tvalid:0"",""s_axis_a_tvalid:1"",""s_axis_b_tdata:0"",""s_axis_b_tdata:1"",""s_axis_b_tdata:32767"",""s_axis_b_tdata:65534"",""s_axis_b_tdata:65535"",""s_axis_b_tlast:0"",""s_axis_b_tlast:1"",""s_axis_b_tuser:0"",""s_axis_b_tuser:1"",""s_axis_b_tuser:115792089237316195423570985008687907853269984665640564039457584007913129639934"",""s_axis_b_tuser:115792089237316195423570985008687907853269984665640564039457584007913129639935"",""s_axis_b_tuser:57896044618658097711785492504343953926634992332820282019728792003956564819967"",""s_axis_b_tvalid:0"",""s_axis_b_tvalid:1""],""hit_count"":27,""missing_bins"":[],""total_count"":27}},""unique_count"":1024}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-10-15_UTC+0800_a223367f/cases/complex_multiplier/cmul_long_pipe,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-10-15_UTC+0800_a223367f/complex_multiplier/cmul_long_pipe/generate_testbench/generate_testbench.log
cmul_long_pipe,sim_selfcheck,SIMULATION_FAILED,complex_multiplier,"{""a_last"":true,""a_user_width"":1,""a_width"":8,""b_last"":true,""b_user_width"":256,""b_width"":8,""clock_enable"":true,""ctrl_last"":false,""ctrl_user_width"":0,""last_mode"":""AND_all_TLASTs"",""latency"":55,""multiplier_type"":""Use_Mults"",""optimization"":""Performance"",""output_width"":16,""rounding"":""Truncate""}",directed_random,1.0,2026,1024,"[""port_boundaries""]","{""actual_output_sha256"":""521afbcc8520cb8131f06ea2c9d120053f729eccc048de4851875909440025c5"",""elapsed_seconds"":19.65505624283105,""failure_detail_file"":""outputs/failure.json"",""failure_detail_sha256"":""3de555511500c0740a3baa3084bcba71b21c687d7a8a27ba3604f2865b2ee28b"",""failure_evidence"":{""actual"":""100000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000"",""causal_input_not_identified"":true,""classification"":""UNTRIAGED"",""contains_unknown_bits"":false,""difference_summary"":{""all_rows_visited"":true,""artifact_issues"":0,""classification"":""OBSERVATION_GROUPS_NOT_BUG_COUNTS"",""difference_kind_counts"":{""missing_output"":6595,""value_mismatch"":1},""difference_rows"":6596,""group_limit"":256,""grouping"":""kind_phase_output_field_route:1.0"",""groups_truncated"":false,""layout_issue_rows"":{},""omitted_group_memberships"":0,""retained_group_count"":5,""rows_without_input_mapping"":0,""schema_version"":1},""expected"":""100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000"",""expected_mask"":""111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",""kind"":""value_mismatch"",""output_index"":113,""preceding_cycles"":[{""inputs"":{""aclken"":1,""s_axis_a_tdata"":0,""s_axis_a_tlast"":0,""s_axis_a_tuser"":1,""s_axis_a_tvalid"":1,""s_axis_b_tdata"":32639,""s_axis_b_tlast"":0,""s_axis_b_tuser"":50,""s_axis_b_tvalid"":1},""phase"":""directed_sequence"",""undefined_outputs"":{""m_axis_dout_tdata"":{""mask"":0,""reason"":""output_tvalid_low""},""m_axis_dout_tlast"":{""mask"":0,""reason"":""output_tvalid_low""},""m_axis_dout_tuser"":{""mask"":0,""reason"":""output_tvalid_low""}},""vector_index"":null},{""inputs"":{""aclken"":1,""s_axis_a_tdata"":0,""s_axis_a_tlast"":0,""s_axis_a_tuser"":1,""s_axis_a_tvalid"":1,""s_axis_b_tdata"":32639,""s_axis_b_tlast"":0,""s_axis_b_tuser"":50,""s_axis_b_tvalid"":1},""phase"":""directed_sequence"",""undefined_outputs"":{""m_axis_dout_tdata"":{""mask"":0,""reason"":""output_tvalid_low""},""m_axis_dout_tlast"":{""mask"":0,""reason"":""output_tvalid_low""},""m_axis_dout_tuser"":{""mask"":0,""reason"":""output_tvalid_low""}},""vector_index"":null},{""inputs"":{""aclken"":1,""s_axis_a_tdata"":256,""s_axis_a_tlast"":1,""s_axis_a_tuser"":0,""s_axis_a_tvalid"":1,""s_axis_b_tdata"":0,""s_axis_b_tlast"":0,""s_axis_b_tuser"":52,""s_axis_b_tvalid"":1},""phase"":""directed_sequence"",""undefined_outputs"":{""m_axis_dout_tdata"":{""mask"":0,""reason"":""output_tvalid_low""},""m_axis_dout_tlast"":{""mask"":0,""reason"":""output_tvalid_low""},""m_axis_dout_tuser"":{""mask"":0,""reason"":""output_tvalid_low""}},""vector_index"":null},{""inputs"":{""aclken"":1,""s_axis_a_tdata"":256,""s_axis_a_tlast"":1,""s_axis_a_tuser"":0,""s_axis_a_tvalid"":1,""s_axis_b_tdata"":0,""s_axis_b_tlast"":0,""s_axis_b_tuser"":52,""s_axis_b_tvalid"":1},""phase"":""directed_sequence"",""undefined_outputs"":{""m_axis_dout_tdata"":{""mask"":0,""reason"":""output_tvalid_low""},""m_axis_dout_tlast"":{""mask"":0,""reason"":""output_tvalid_low""},""m_axis_dout_tuser"":{""mask"":0,""reason"":""output_tvalid_low""}},""vector_index"":null},{""inputs"":{""aclken"":1,""s_axis_a_tdata"":256,""s_axis_a_tlast"":0,""s_axis_a_tuser"":1,""s_axis_a_tvalid"":1,""s_axis_b_tdata"":256,""s_axis_b_tlast"":1,""s_axis_b_tuser"":54,""s_axis_b_tvalid"":1},""phase"":""directed_sequence"",""undefined_outputs"":{""m_axis_dout_tdata"":{""mask"":0,""reason"":""output_tvalid_low""},""m_axis_dout_tlast"":{""mask"":0,""reason"":""output_tvalid_low""},""m_axis_dout_tuser"":{""mask"":0,""reason"":""output_tvalid_low""}},""vector_index"":null},{""inputs"":{""aclken"":1,""s_axis_a_tdata"":256,""s_axis_a_tlast"":0,""s_axis_a_tuser"":1,""s_axis_a_tvalid"":1,""s_axis_b_tdata"":256,""s_axis_b_tlast"":1,""s_axis_b_tuser"":54,""s_axis_b_tvalid"":1},""phase"":""directed_sequence"",""undefined_outputs"":{""m_axis_dout_tdata"":{""mask"":0,""reason"":""output_tvalid_low""},""m_axis_dout_tlast"":{""mask"":0,""reason"":""output_tvalid_low""},""m_axis_dout_tuser"":{""mask"":0,""reason"":""output_tvalid_low""}},""vector_index"":null},{""inputs"":{""aclken"":1,""s_axis_a_tdata"":256,""s_axis_a_tlast"":1,""s_axis_a_tuser"":0,""s_axis_a_tvalid"":1,""s_axis_b_tdata"":65280,""s_axis_b_tlast"":1,""s_axis_b_tuser"":56,""s_axis_b_tvalid"":1},""phase"":""directed_sequence"",""vector_index"":null},{""inputs"":{""aclken"":1,""s_axis_a_tdata"":256,""s_axis_a_tlast"":1,""s_axis_a_tuser"":0,""s_axis_a_tvalid"":1,""s_axis_b_tdata"":65280,""s_axis_b_tlast"":1,""s_axis_b_tuser"":56,""s_axis_b_tvalid"":1},""phase"":""directed_sequence"",""vector_index"":null}],""sampled_cycle"":{""inputs"":{""aclken"":1,""s_axis_a_tdata"":256,""s_axis_a_tlast"":0,""s_axis_a_tuser"":1,""s_axis_a_tvalid"":1,""s_axis_b_tdata"":32768,""s_axis_b_tlast"":0,""s_axis_b_tuser"":58,""s_axis_b_tvalid"":1},""phase"":""directed_sequence"",""vector_index"":null},""timing_mode"":""random_gaps""},""output_count"":114,""returncode"":1,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-10-15_UTC+0800_a223367f/cases/complex_multiplier/cmul_long_pipe,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-10-15_UTC+0800_a223367f/complex_multiplier/cmul_long_pipe/sim_selfcheck/sim_selfcheck.log
voter_lockstep1,create_ip,PASS,tmr_voter,"{""comparator"":true,""disable_port"":false,""include_mask"":18446744073709551615,""input_register"":false,""triple"":false,""voter_check"":false,""width"":1}",exhaustive,1.0,2026,4,"[""port_boundaries"",""complete_input_space""]","{""elapsed_seconds"":5.013710615923628,""returncode"":0,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-10-15_UTC+0800_a223367f/cases/tmr_voter/voter_lockstep1,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-10-15_UTC+0800_a223367f/tmr_voter/voter_lockstep1/create_ip/create_ip.log
voter_lockstep1,generate_testbench,PASS,tmr_voter,"{""comparator"":true,""disable_port"":false,""include_mask"":18446744073709551615,""input_register"":false,""triple"":false,""voter_check"":false,""width"":1}",exhaustive,1.0,2026,4,"[""port_boundaries"",""complete_input_space""]","{""checked_transaction_count"":13,""comparison_kind"":""combinational"",""coverage_model"":""input_bins:1.0"",""covered_targets"":[""complete_input_space"",""port_boundaries""],""defined_output_bits_by_port"":{""Compare"":13,""Discrete"":13},""directed_count"":4,""directed_sequence_cycles"":8,""directed_suffix_cycles"":0,""elapsed_seconds"":0.0015218330081552267,""flush_cycles"":1,""fully_masked_cycles"":0,""gap_cycles"":0,""generated_count"":4,""input_cycles"":13,""input_space_fraction"":1.0,""input_space_size"":4,""masked_output_bits"":39,""masked_reason_cycles"":{""Compare:lockstep_unused_compare_bits"":13},""max_observed_gap"":0,""missing_targets"":[],""schedule_version"":""1.0"",""sequence_coverage"":""not_measured"",""strategy"":""exhaustive"",""strategy_version"":""1.0"",""target_coverage"":{""complete_input_space"":{""fraction"":1.0,""hit_count"":4,""total_count"":4},""port_boundaries"":{""fraction"":1.0,""hit_bins"":[""Discrete1:0"",""Discrete1:1"",""Discrete2:0"",""Discrete2:1""],""hit_count"":4,""missing_bins"":[],""total_count"":4}},""unique_count"":4}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-10-15_UTC+0800_a223367f/cases/tmr_voter/voter_lockstep1,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-10-15_UTC+0800_a223367f/tmr_voter/voter_lockstep1/generate_testbench/generate_testbench.log
voter_lockstep1,sim_selfcheck,SIMULATION_FAILED,tmr_voter,"{""comparator"":true,""disable_port"":false,""include_mask"":18446744073709551615,""input_register"":false,""triple"":false,""voter_check"":false,""width"":1}",exhaustive,1.0,2026,4,"[""port_boundaries"",""complete_input_space""]","{""elapsed_seconds"":10.826129741035402,""failure_detail_file"":""outputs/failure.json"",""failure_detail_sha256"":""a86da634ab38f72d29737ae7858efaaa2f66c3856232294c21e4ac98582bab01"",""failure_evidence"":{""classification"":""UNTRIAGED"",""difference_summary"":{""all_rows_visited"":false,""artifact_issues"":1,""classification"":""OBSERVATION_GROUPS_NOT_BUG_COUNTS"",""difference_kind_counts"":{""missing_output_artifact"":1},""difference_rows"":0,""group_limit"":256,""grouping"":""kind_phase_output_field_route:1.0"",""groups_truncated"":false,""layout_issue_rows"":{},""omitted_group_memberships"":0,""retained_group_count"":1,""rows_without_input_mapping"":0,""schema_version"":1},""kind"":""missing_output_artifact""},""returncode"":1,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-10-15_UTC+0800_a223367f/cases/tmr_voter/voter_lockstep1,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-10-15_UTC+0800_a223367f/tmr_voter/voter_lockstep1/sim_selfcheck/sim_selfcheck.log
concat_bits128,create_ip,PASS,xlconcat,"{""input_widths"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]}",directed_random,1.0,2026,512,"[""port_boundaries""]","{""elapsed_seconds"":15.06706052296795,""returncode"":0,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-10-15_UTC+0800_a223367f/cases/xlconcat/concat_bits128,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-10-15_UTC+0800_a223367f/xlconcat/concat_bits128/create_ip/create_ip.log
