case_id,stage,status,ip_type,parameters,strategy,strategy_version,random_seed,case_budget,coverage_targets,metrics,run_dir,log_path
divider_u16_u8,create_ip,PASS,divider,"{""dividend_width"":16,""divisor_width"":8,""operand_sign"":""Unsigned""}",directed_random,1.0,20260914,44,"[""boundary_values"",""sign_combinations"",""nonzero_divisor""]","{""elapsed_seconds"":4.866635116981342,""returncode"":0,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-47-30_UTC+0800_4bca4f69/cases/divider/divider_u16_u8,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-47-30_UTC+0800_4bca4f69/divider/divider_u16_u8/create_ip/create_ip.log
divider_u16_u8,sim_demo,PASS,divider,"{""dividend_width"":16,""divisor_width"":8,""operand_sign"":""Unsigned""}",directed_random,1.0,20260914,44,"[""boundary_values"",""sign_combinations"",""nonzero_divisor""]","{""elapsed_seconds"":31.32821800210513,""returncode"":0,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-47-30_UTC+0800_4bca4f69/cases/divider/divider_u16_u8,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-47-30_UTC+0800_4bca4f69/divider/divider_u16_u8/sim_demo/sim_demo.log
divider_u16_u8,generate_testbench,PASS,divider,"{""dividend_width"":16,""divisor_width"":8,""operand_sign"":""Unsigned""}",directed_random,1.0,20260914,44,"[""boundary_values"",""sign_combinations"",""nonzero_divisor""]","{""checked_transaction_count"":44,""coverage_model"":""input_bins:1.0"",""covered_targets"":[""boundary_values"",""nonzero_divisor"",""sign_combinations""],""directed_count"":12,""elapsed_seconds"":0.002001454122364521,""gap_cycles"":0,""generated_count"":44,""input_cycles"":44,""input_space_fraction"":2.632889093137255e-06,""input_space_size"":16711680,""max_observed_gap"":0,""missing_targets"":[],""schedule_version"":""1.0"",""strategy"":""directed_random"",""strategy_version"":""1.0"",""target_coverage"":{""boundary_values"":{""fraction"":1.0,""hit_bins"":[""boundary:dividend:max"",""boundary:dividend:min"",""boundary:divisor:max""],""hit_count"":3,""missing_bins"":[],""total_count"":3},""nonzero_divisor"":{""fraction"":1.0,""hit_bins"":[""divisor:+""],""hit_count"":1,""missing_bins"":[],""total_count"":1},""sign_combinations"":{""fraction"":1.0,""hit_bins"":[""sign:++""],""hit_count"":1,""missing_bins"":[],""total_count"":1}},""unique_count"":44}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-47-30_UTC+0800_4bca4f69/cases/divider/divider_u16_u8,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-47-30_UTC+0800_4bca4f69/divider/divider_u16_u8/generate_testbench/generate_testbench.log
divider_u16_u8,sim_selfcheck,PASS,divider,"{""dividend_width"":16,""divisor_width"":8,""operand_sign"":""Unsigned""}",directed_random,1.0,20260914,44,"[""boundary_values"",""sign_combinations"",""nonzero_divisor""]","{""actual_output_sha256"":""c72f369e48c4450b9c2b0398f98f1cdb41af978915e6bfa6e258d58292d3c676"",""elapsed_seconds"":16.987401707097888,""output_count"":44,""returncode"":0,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-47-30_UTC+0800_4bca4f69/cases/divider/divider_u16_u8,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-47-30_UTC+0800_4bca4f69/divider/divider_u16_u8/sim_selfcheck/sim_selfcheck.log
divider_u32_u16,create_ip,PASS,divider,"{""dividend_width"":32,""divisor_width"":16,""operand_sign"":""Unsigned""}",directed_random,1.0,20260915,44,"[""boundary_values"",""nonzero_divisor""]","{""elapsed_seconds"":4.869207338197157,""returncode"":0,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-47-30_UTC+0800_4bca4f69/cases/divider/divider_u32_u16,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-47-30_UTC+0800_4bca4f69/divider/divider_u32_u16/create_ip/create_ip.log
divider_u32_u16,generate_testbench,PASS,divider,"{""dividend_width"":32,""divisor_width"":16,""operand_sign"":""Unsigned""}",directed_random,1.0,20260915,44,"[""boundary_values"",""nonzero_divisor""]","{""checked_transaction_count"":44,""coverage_model"":""input_bins:1.0"",""covered_targets"":[""boundary_values"",""nonzero_divisor""],""directed_count"":12,""elapsed_seconds"":0.0017216028645634651,""gap_cycles"":0,""generated_count"":44,""input_cycles"":44,""input_space_fraction"":1.56321787148398e-13,""input_space_size"":281470681743360,""max_observed_gap"":0,""missing_targets"":[],""schedule_version"":""1.0"",""strategy"":""directed_random"",""strategy_version"":""1.0"",""target_coverage"":{""boundary_values"":{""fraction"":1.0,""hit_bins"":[""boundary:dividend:max"",""boundary:dividend:min"",""boundary:divisor:max""],""hit_count"":3,""missing_bins"":[],""total_count"":3},""nonzero_divisor"":{""fraction"":1.0,""hit_bins"":[""divisor:+""],""hit_count"":1,""missing_bins"":[],""total_count"":1}},""unique_count"":44}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-47-30_UTC+0800_4bca4f69/cases/divider/divider_u32_u16,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-47-30_UTC+0800_4bca4f69/divider/divider_u32_u16/generate_testbench/generate_testbench.log
divider_u32_u16,sim_selfcheck,PASS,divider,"{""dividend_width"":32,""divisor_width"":16,""operand_sign"":""Unsigned""}",directed_random,1.0,20260915,44,"[""boundary_values"",""nonzero_divisor""]","{""actual_output_sha256"":""b1cb9d54329a1762e7547d8ef525046a97fa1014e072584a95c8115162125e63"",""elapsed_seconds"":17.747649231925607,""output_count"":44,""returncode"":0,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-47-30_UTC+0800_4bca4f69/cases/divider/divider_u32_u16,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-47-30_UTC+0800_4bca4f69/divider/divider_u32_u16/sim_selfcheck/sim_selfcheck.log
divider_s16_s8,create_ip,PASS,divider,"{""dividend_width"":16,""divisor_width"":8,""operand_sign"":""Signed""}",directed_random,1.0,20260916,48,"[""boundary_values"",""sign_combinations"",""nonzero_divisor""]","{""elapsed_seconds"":4.76667641219683,""returncode"":0,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-47-30_UTC+0800_4bca4f69/cases/divider/divider_s16_s8,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-47-30_UTC+0800_4bca4f69/divider/divider_s16_s8/create_ip/create_ip.log
divider_s16_s8,generate_testbench,PASS,divider,"{""dividend_width"":16,""divisor_width"":8,""operand_sign"":""Signed""}",directed_random,1.0,20260916,48,"[""boundary_values"",""sign_combinations"",""nonzero_divisor""]","{""checked_transaction_count"":48,""coverage_model"":""input_bins:1.0"",""covered_targets"":[""boundary_values"",""nonzero_divisor"",""sign_combinations""],""directed_count"":16,""elapsed_seconds"":0.0017605558969080448,""gap_cycles"":0,""generated_count"":48,""input_cycles"":48,""input_space_fraction"":2.872242818929205e-06,""input_space_size"":16711679,""max_observed_gap"":0,""missing_targets"":[],""schedule_version"":""1.0"",""strategy"":""directed_random"",""strategy_version"":""1.0"",""target_coverage"":{""boundary_values"":{""fraction"":1.0,""hit_bins"":[""boundary:dividend:max"",""boundary:dividend:min"",""boundary:divisor:max"",""boundary:divisor:min""],""hit_count"":4,""missing_bins"":[],""total_count"":4},""nonzero_divisor"":{""fraction"":1.0,""hit_bins"":[""divisor:+"",""divisor:-""],""hit_count"":2,""missing_bins"":[],""total_count"":2},""sign_combinations"":{""fraction"":1.0,""hit_bins"":[""sign:++"",""sign:+-"",""sign:-+"",""sign:--""],""hit_count"":4,""missing_bins"":[],""total_count"":4}},""unique_count"":48}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-47-30_UTC+0800_4bca4f69/cases/divider/divider_s16_s8,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-47-30_UTC+0800_4bca4f69/divider/divider_s16_s8/generate_testbench/generate_testbench.log
divider_s16_s8,sim_selfcheck,PASS,divider,"{""dividend_width"":16,""divisor_width"":8,""operand_sign"":""Signed""}",directed_random,1.0,20260916,48,"[""boundary_values"",""sign_combinations"",""nonzero_divisor""]","{""actual_output_sha256"":""c8678cfcba3e8cd36096375e87d5098350e138b701177104084b45cc763774af"",""elapsed_seconds"":16.86163466097787,""output_count"":48,""returncode"":0,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-47-30_UTC+0800_4bca4f69/cases/divider/divider_s16_s8,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-47-30_UTC+0800_4bca4f69/divider/divider_s16_s8/sim_selfcheck/sim_selfcheck.log
